[113.25872 ,23.139562],
[114.051164, 22.609383],
[113.25872, 23.139562],
[113.51597, 22.292177],
[112.544412, 37.881898],
[113.104074, 36.215097],
[113.104074, 36.215097],
[112.544412, 37.881898],
[112.544412, 37.881898],
[112.85052, 35.493965],
[113.104074, 36.215097],
[116.425052, 39.934032],
[113.104074, 36.215097],
[116.425052, 39.934032],
[113.104074, 36.215097],
[117.208789, 39.095388],
[112.85052, 35.493965],
[116.425052, 39.934032],
[112.85052, 35.493965],
[117.208789, 39.095388],
[108.322574, 22.833533],
[113.263955, 23.154211],
[113.263955, 23.154211],
[108.322574, 22.833533],
[108.322574, 22.833533],
[114.420973, 23.159162],
[108.322574, 22.833533],
[112.476087, 23.080553],
[109.395618, 24.315365],
[113.263955, 23.154211],
[113.263955, 23.154211],
[110.28662, 25.267723],
[113.434202, 22.519376],
[108.655118, 22.060841],
[113.263955, 23.154211],
[110.28662, 25.267723],
[116.425052, 39.934032],
[113.51597, 22.292177],
[116.425052, 39.934032],
[117.208789, 39.095388],
[113.25872, 23.139562],
[114.051164, 22.609383],
[106.535893, 29.590094],
[104.060293, 30.593689],
[113.25872, 23.139562],
[104.060293, 30.593689],
[112.544412, 37.881898],
[112.85052, 35.493965],
[106.535893, 29.590094],
[104.060293, 30.593689],
[113.362213, 40.097111],
[116.425052, 39.934032],
[113.362213, 40.097111],
[104.060293, 30.593689],
[111.019703, 35.033296],
[103.839542, 36.071046],
[117.208789, 39.095388],
[113.25872, 23.139562],
[106.535893, 29.590094],
[104.060293, 30.593689],
[113.362213, 40.097111],
[116.425052, 39.934032],
[109.395618, 24.315365],
[113.263955, 23.154211],
[116.425052, 39.934032],
[117.208789, 39.095388],
[112.544412, 37.881898],
[113.104074, 36.215097],
[113.104074, 36.215097],
[112.544412, 37.881898],
[111.019703, 35.033296],
[103.839542, 36.071046],
[106.535893, 29.590094],
[104.060293, 30.593689],
[112.85052, 35.493965],
[117.208789, 39.095388],
[113.362213, 40.097111],
[104.060293, 30.593689],
[113.25872, 23.139562],
[114.051164, 22.609383],
